Handle,Option1 Name,Option1 Value,SKU,Price,Compare at Price,Inventory Qty,Requires Shipping,Taxable
yumejin-1h-H001,Default,Default,1h-H001,2864,,0,TRUE,TRUE
yumejin-1h-H002,Default,Default,1h-H002,3581,,0,TRUE,TRUE
yumejin-1h-H004,Default,Default,1h-H004,3703,,0,TRUE,TRUE
yumejin-1h-H005,Default,Default,1h-H005,2455,,0,TRUE,TRUE
yumejin-1h-H006,Default,Default,1h-H006,3887,,0,TRUE,TRUE
yumejin-1h-H007,Default,Default,1h-H007,3887,,0,TRUE,TRUE
yumejin-1h-H008,Default,Default,1h-H008,4604,,0,TRUE,TRUE
yumejin-1h-H009,Default,Default,1h-H009,6138,,0,TRUE,TRUE
yumejin-1h-H010,Default,Default,1h-H010,5524,,0,TRUE,TRUE
yumejin-1h-H011,Default,Default,1h-H011,818,,0,TRUE,TRUE
yumejin-1h-H012,Default,Default,1h-H012,6138,,0,TRUE,TRUE
yumejin-1h-H013,Default,Default,1h-H013,5524,,0,TRUE,TRUE
yumejin-1h-H015,Default,Default,1h-H015,409,,0,TRUE,TRUE
yumejin-1h-H016,Default,Default,1h-H016,1944,,0,TRUE,TRUE
yumejin-1h-K010,Default,Default,1h-K010,2864,,0,TRUE,TRUE
yumejin-1h-S001,Default,Default,1h-S001,2046,,0,TRUE,TRUE
yumejin-1h-S002,Default,Default,1h-S002,2046,,0,TRUE,TRUE
yumejin-1h-S003,Default,Default,1h-S003,1841,,0,TRUE,TRUE
yumejin-1h-S004,Default,Default,1h-S004,5115,,0,TRUE,TRUE
yumejin-4Q-25LH-MCL4,Default,Default,4Q-25LH-MCL4,1188,,0,TRUE,TRUE
yumejin-60-K63B-P9RF,Default,Default,60-K63B-P9RF,1782,,0,TRUE,TRUE
yumejin-7L-4B4I-F0JE,Default,Default,7L-4B4I-F0JE,3326,,0,TRUE,TRUE
yumejin-83-P8T5-5J6H,Default,Default,83-P8T5-5J6H,6558,,0,TRUE,TRUE
yumejin-A8H-020,Default,Default,A8H-020,1650,,0,TRUE,TRUE
yumejin-AB-001,Default,Default,AB-001,3080,,0,TRUE,TRUE
yumejin-AB-009,Default,Default,AB-009,6600,,0,TRUE,TRUE
yumejin-AD-000,Default,Default,AD-000,440,,0,TRUE,TRUE
yumejin-AD-001,Default,Default,AD-001,3080,,0,TRUE,TRUE
yumejin-AD-002,Default,Default,AD-002,6600,,0,TRUE,TRUE
yumejin-AD-012,Default,Default,AD-012,7260,,0,TRUE,TRUE
yumejin-AD-015,Default,Default,AD-015,440,,0,TRUE,TRUE
yumejin-AD-016,Default,Default,AD-016,2090,,0,TRUE,TRUE
yumejin-At-001,Default,Default,At-001,3080,,0,TRUE,TRUE
yumejin-At-002,Default,Default,At-002,7242,,0,TRUE,TRUE
yumejin-At-cu001,Default,Default,At-cu001,3080,,0,TRUE,TRUE
yumejin-At-cu002,Default,Default,At-cu002,3850,,0,TRUE,TRUE
yumejin-At-p1-01,Default,Default,At-p1-01,3080,,0,TRUE,TRUE
yumejin-At-p1-01u,Default,Default,At-p1-01u,6584,,0,TRUE,TRUE
yumejin-B1-HOVQ-HCIN,Default,Default,B1-HOVQ-HCIN,2851,,0,TRUE,TRUE
yumejin-BDWD-001,Default,Default,BDWD-001,16443,,0,TRUE,TRUE
yumejin-BDWD-002,Default,Default,BDWD-002,7242,,0,TRUE,TRUE
yumejin-BDWD-003,Default,Default,BDWD-003,3282,,0,TRUE,TRUE
yumejin-BDWD-004,Default,Default,BDWD-004,2917,,0,TRUE,TRUE
yumejin-CF-K6KB-45WT,Default,Default,CF-K6KB-45WT,3802,,0,TRUE,TRUE
yumejin-colorful-test,Default,Default,colorful-test,10,,0,TRUE,TRUE
yumejin-colorful-test_20220627,Default,Default,colorful-test_20220627,3982,,0,TRUE,TRUE
yumejin-colorful-test_p01,Default,Default,colorful-test_p01,3982,,0,TRUE,TRUE
yumejin-colorful-test_p02,Default,Default,colorful-test_p02,2640,,0,TRUE,TRUE
yumejin-colorful-test_p03,Default,Default,colorful-test_p03,4180,,0,TRUE,TRUE
yumejin-colorful-test-regular,Default,Default,colorful-test-regular,100,,0,TRUE,TRUE
yumejin-CS10-A001,Default,Default,CS10-A001,4950,,0,TRUE,TRUE
yumejin-CS10-A002,Default,Default,CS10-A002,3960,,0,TRUE,TRUE
yumejin-CS10-B001,Default,Default,CS10-B001,1961,,0,TRUE,TRUE
yumejin-CS10-B002,Default,Default,CS10-B002,4139,,0,TRUE,TRUE
